"Name","id","Last Updated","Phone","Website/Social Media","Neighborhood","Category","Latitude","Longitude","Address","Notes","Sub-Category","Zipcode","Created time","Status","Source","Hours","Pickup Offered","Delivery Offered","Delivery/Pickup Notes","MWBE","Instagram","Donate","Email","Outside Seating Offered","Type of Service","Special Accommodation Hours","Black Owned Business"
"I Love Paraguay",864,"2020-04-29T04:00:00.000Z","(718) 786-5534","http://www.ilovepy.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.740945,-73.921427,"4316 Greenpoint Ave, Queens","Take out through Uber Eats Mon-Fri 11am-9pm Sun-Sat 10am-9pm 718-786-5534 <http://ilovepy.com>
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Kabayan",865,"2020-04-16T04:00:00.000Z","(718) 639-3113","http://kabayanfilipinonyc.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.74245,-73.915484,"49-12 Queens Blvd, Flushing","Call ahead 718-639-3113  TAKEOUT & DELIVERY authentic Filipino known for crispy pata, bulalo, lumpiang sariwa, lechon Updates [www.instagram.com/kabayannyc][1]

  [1]: http://www.instagram.com/kabayannyc
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"La Flor",866,"2020-04-16T04:00:00.000Z","(718) 426-8023","http://www.laflorinwoodside.com/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.744296,-73.911381,"53-02 Roosevelt Ave, Woodside","Call 718-426-8023 TAKEOUT & DELIVERY  <https://laflorinwoodside.com/>
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"La Pollera de Mario",867,"2020-04-16T04:00:00.000Z","(718) 729-8586",,"Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.740141,-73.923391,"4120 Greenpoint Ave, Sunnyside","Call 718-729-8586 TAKEOUT & DELIVERY <https://www.lapollerademario.net/>
","meal_delivery,restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Leo's Pizza",868,,"(718) 721-8700","http://www.leospizzany.com/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.756577,-73.929436,"31-01 36th Ave, Astoria","718-721-8700 TAKEOUT & DELIVERY
","meal_delivery,meal_takeaway,restaurant,food","11106","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Los Verdes",869,,"(718) 255-6600","https://losverdes.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.742105,-73.918518,"46-26 Greenpoint Ave, Sunnyside","TAKEOUT & DELIVERY 718-255-6600 Sun-Thu 11am-12am Fri-Sat 11am-1am FREE DELIVERY plus 15% off online orders use Code PLUS15 [www.order.losverdes.com/restaurant/][1]

  [1]: http://www.order.losverdes.com/restaurant/
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Solid State",870,"2020-05-09T04:00:00.000Z","(347) 935-3042","http://solidstatenyc.com/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.744533,-73.910818,"53-22 Roosevelt Ave, Woodside","Beer sales 3-7pm weekdays 2-6pm weekends Open for takeout growlers and can sales (they have restocked their growlers)  Call ahead 347-935-3042 [www.gofundme.com/f/solid-state-staff-relief-fund][1]

  [1]: http://www.gofundme.com/f/solid-state-staff-relief-fund
","bar","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sanger Hall",871,"2020-07-04T03:41:00.000Z",,"http://sangerhall.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.74615,-73.915412,"48-20 Skillman Ave","
","bar,restaurant,food","11104","2020-05-29T17:32:14.000Z","Open",,"Opening Monday July 6 
4pm-10pm daily
","Yes","Yes","Order here <https://app.upserve.com/s/sanger-hall-sunnyside>
	offering food drink beer cocktail pick up & delivery
",true,"www.instagram.com/sangerhall","Staff fund https://www.gofundme.com/f/sanger-staff-fund",,"Yes (Sidewalk)","separate order and pick-up windows",,
"The Alcove",872,"2020-05-18T04:00:00.000Z","(347) 813-4159","https://www.facebook.com/thealcoveny/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.745889,-73.915126,"41-11 49th St, Queens"," 
","bar,restaurant,food","11377","2020-05-29T17:32:14.000Z","Open",,"Mon Wed Thu 5pm-11pm Fri 3-11 Sat 2-11 Sun 2-10
(closed Tues)

",,"Yes - limited zone","Delivery Sunnyside/Woodside Only

",true,"www.instagram.com/thealcoveny",,,,,,
"Uncle Jimmy's Pizzeria",873,"2020-05-23T04:00:00.000Z","(718) 507-9099","http://www.unclejimmysmenu.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.745935,-73.91543,"41-10 49th St, Sunnyside","Sun-Thu 4-10pm Fri-Sat 4-11pm | 718-507-9099 | 41-10 49th St Sunnyside
","meal_delivery,restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"PJ Horgan's",874,"2020-06-18T04:00:00.000Z","(929) 208-0477","http://www.pjhorgans.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.74612,-73.915105,"49-02 Skillman Ave","Bar only (as of June 17)
","bar,restaurant,food,Irish","11377","2020-05-29T17:32:14.000Z","Open",,"Open at 3pm daily
",,,,,,,,,,,
"Skillman Barber",875,,"(718) 426-5191","http://www.skillmanbarbershop.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.745997,-73.9147,"49-12 Skillman Ave, Woodside","[Closed at this time] Per website HOUSE CALL services available Text Mark or Arvin 917-715-0081 [www.skillmanbarbershop.com][1]

  [1]: http://www.skillmanbarbershop.com
","hair_care,health","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Takesushi",876,"2020-04-11T04:00:00.000Z","(718) 729-8253","http://www.takesushisunnyside.net/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.744084,-73.922417,"43-46 42nd St, Sunnyside","12pm-2pm & 5pm-8pm [Closed Wednesdays] takeout & delivery, Call to order 718-729-8253 Menu & updates [www.instagram.com/takesushi.nyc][1]

  [1]: http://www.instagram.com/takesushi.nyc
","restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"TJ Asian Bistro",877,"2020-05-13T04:00:00.000Z","(718) 205-2088","http://www.tjsushi.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.746225,-73.913542,"50-19 Skillman Ave, Woodside","Reopening Friday 5/15 for PICKUP only Hours TBD (Closed Mondays) Call 718-205-2088 | 50-19 Skillman Ave Woodside
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"I Am Thai",878,"2020-04-11T04:00:00.000Z","(718) 457-7700","http://www.iamthairestaurant.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.744421,-73.915255,"49-08 43rd Ave, Woodside","Closed Mondays / Open Tues-Fri 3:30-9pm Sat/Sun 12-9pm (Sat/Sun closed for staff meal 4-5pm firm)
","meal_delivery,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Aubergine Cafe",879,"2020-05-13T04:00:00.000Z","(718) 899-1735","http://auberginecafe.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.746018,-73.914423,"49-22 Skillman Ave, Queens","Opens Thursday 5/14 Mon, Wed-Sun 8-4pm (Closed Tues) Menu at [www.auberginecafe.com][1]  Call ahead for pickup 718-899-1735 Updates at [www.instagram.com/auberginecafe][2]

  [1]: http://www.auberginecafe.com
  [2]: http://www.instagram.com/auberginecafe
","cafe,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Claret Wine Bar",880,,"(718) 937-7411","http://www.claretwinebar.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.746409,-73.917857,"4602 Skillman Ave, Sunnyside","Closed at this time
","bar,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Jack's Fire Dept.",881,"2020-07-02T04:00:00.000Z","(718) 784-9090","http://www.jacksfiredepartment.com/home/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.74709,-73.92372,"39-46 Skillman Ave, Sunnyside","
","bar","11104","2020-05-29T17:32:14.000Z","Open",,"Thu/Fri 2pm-11  
Sat/Sun 11am-11 	
","Yes","Yes",,," www.instagram.com/jacksfiredept/","https://cares.shift4.com/?name=JACK%27S+FIRE+DEPARTMENT",,,,,
"Blinks Deli & Pizza",882,"2020-04-16T04:00:00.000Z","(718) 392-6155","http://www.blinksdeliandpizza.com/?utm_source=gmb","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.746022,-73.929294,"43-01 35th St, Long Island City","Call for hours - (718) 392-6155
","meal_delivery,meal_takeaway,restaurant,food","11101","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Khun Noo Thai",883,"2020-04-28T04:00:00.000Z","(718) 426-8162","http://orderkhunnoothainoodlehouse.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.745751,-73.912595,"51-20 Skillman Ave, Woodside","TAKE OUT & DELIVERY 11am-10pm  Call (718) 426-8162 or use most online delivery apps (Seamless, Grubhub, Ubereats, Doordash, Postmates)
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"El Rey De Los Tacos",884,"2020-04-16T04:00:00.000Z","(917) 905-2743","http://elreydelostacoscorp.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.744429,-73.915324,"49-06 43rd Ave, Woodside","Closed at this time
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Donato's",885,"2020-04-25T04:00:00.000Z","(718) 507-4591","https://www.donatosnyc.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.748669,-73.912968,"50-22 39th Ave, Queens","\*\* Reopening for takeout & delivery on Friday May 1 \*\* stay tuned for more
","meal_delivery,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Jungo Sushi",886,"2020-04-16T04:00:00.000Z","(718) 779-7766","https://jungosushitogo.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.744739,-73.91588,"48-11 43rd Ave, Sunnyside","[CLOSED at this time]
","restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Globe Tavern",887,"2020-06-21T04:00:00.000Z","(718) 651-2558","https://www.facebook.com/The-Globe-Tavern-113474548686125/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.746058,-73.914742,"4910 Skillman Ave, Woodside","if you want to relax with your drink, please feel free to sit in our temporary outdoor seating area complete with games. 
While we are happy to share this great news with you, please maintain social distancing, wear your masks, and respect our neighbors. We’ll see you soon! [#reopening][1] [#nycbar][2] [#drinkstogo][3]

  [1]: https://www.instagram.com/explore/tags/reopening/
  [2]: https://www.instagram.com/explore/tags/nycbar/
  [3]: https://www.instagram.com/explore/tags/drinkstogo/
","bar,Irish","11377","2020-05-29T17:32:14.000Z","Open","www.instagram.com/p/CBtgI3hnaeH/","2-9 daily
",,,,," www.instagram.com/theglobetavern ",,,,"Pass through window Menu here instagram.com/p/CBtgI3hnaeH/",,
"Mr. Burrito",888,"2020-04-16T04:00:00.000Z","(718) 361-6513",,"Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.740974,-73.921299,"4320 Greenpoint Ave, Queens","TAKEOUT & DELIVERY - Call for hours (718) 361-6513
","meal_delivery,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Bee Cafe",889,"2020-05-18T04:00:00.000Z","(347) 321-9098","http://www.beecafenyc.com/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.747421,-73.903028,"60-11 39th Ave, Queens","10am-5pm (Closed Wed) 347-321-9098 | 60-11 39th Ave Woodside | Updates [www.instagram.com/beecafenyc][1]

  [1]: http://www.instagram.com/beecafenyc
","cafe,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Cafe Con Amor",890,"2020-04-16T04:00:00.000Z","(718) 205-5707","http://www.cafeconamorny.com/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.745821,-73.899537,"64-16 Roosevelt Ave, Woodside","Daily 8am-9pm TAKEOUT & DELIVERY Call (718) 205-5707 or order [www.cafeconamorny.com][1] Updates [www.facebook.com/cafeconamorny][2]

  [1]: http://www.cafeconamorny.com
  [2]: http://www.facebook.com/cafeconamorny
","meal_delivery,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sweet Basil Thai",891,"2020-04-16T04:00:00.000Z","(718) 205-0080","http://sweetbasilwoodside.com/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.746506,-73.903218,"39-28 61st St, Woodside","TAKE OUT & DELIVERY Daily 12pm-11pm CALL AHEAD (718) 205-0080
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Lenny's Pizza",892,"2020-05-23T04:00:00.000Z","(718) 786-8100","http://www.lennyspizzanyc.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.741472,-73.920419,"44-08 Greenpoint Ave, Sunnyside","11am-10:30pm | 718-786-1800 | 44-08 Greenpoint Ave Sunnyside [www.instagram.com/p/B-azsdug5oe/][1] [www.lennyspizzanyc.com/][2]

  [1]: http://www.instagram.com/p/B-azsdug5oe/
  [2]: http://www.lennyspizzanyc.com/
","meal_delivery,restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Donovan's",893,"2020-04-16T04:00:00.000Z","(718) 429-9339","http://donovansny.com/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.74522,-73.906818,"57-24 Roosevelt Ave, Woodside","TAKEOUT & DELIVERY OPEN Wed-Fri 330-8 Sat-Sun 12-8 / Call to confirm (718) 429-9393, delivery through Grubhub  Menu & Updates: [www.facebook.com/DonovansIrishPub/][1]

  [1]: http://www.facebook.com/DonovansIrishPub/
","bar,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Bagel Plus",894,"2020-04-16T04:00:00.000Z","(718) 639-7784","https://www.facebook.com/bagelplus/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.745606,-73.906626,"5720 Woodside Ave, Woodside","Daily 6am-5pm  (718) 639-7784
","bakery,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"F. Ottomanelli",895,"2020-04-16T04:00:00.000Z","(718) 269-6260",,"Woodside","Restaurants, Bars, Cafes & Bakeries",40.745147,-73.904108,"60-15 Woodside Ave, Woodside","Daily 9am-7pm  Call ahead (718) 651-5544 to place your order. Order prime meats online at [www.mercato.com][1] for BULK DEALS & Updates see IG <https://www.instagram.com/f.ottomanelliburgers/>, FB [www.facebook.com/FOttomanelliBurgersandFries][2], twitter <https://twitter.com/fottomanelli>

  [1]: http://www.mercato.com
  [2]: http://www.facebook.com/FOttomanelliBurgersandFries
","restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Kennedy Fried Chicken",896,"2020-04-16T04:00:00.000Z","(718) 426-7670",,"Woodside","Restaurants, Bars, Cafes & Bakeries",40.74571,-73.903504,"60-29 Roosevelt Ave, Woodside","Open daily - call for hours (718) 426-7670 - delivery through <https://kennedyfriedchickenroosevelt.com/order>, Seamless, Grubhub, Postmates, Ubereats
","meal_delivery,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Pizza Boy II",897,"2020-05-06T04:00:00.000Z","(718) 426-5023","http://pizzaboytwo.com/","Woodside","Restaurants, Bars, Cafes & Bakeries",40.745625,-73.905564,"58-19 Woodside Ave, Woodside","12pm-8pm Call 718-426-5023  |  5819 Woodside Ave [www.pizzaboyny.com/][1]

  [1]: http://www.pizzaboyny.com/
","meal_delivery,meal_takeaway,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Dunkin' Donuts",898,"2020-04-16T04:00:00.000Z","(718) 458-1903","https://smart.link/abu8tr12sc1y6?utm_source=google&utm_medium=local&utm_campaign=gmbwebsiteorder&utm_content=354069","Woodside","Restaurants, Bars, Cafes & Bakeries",40.74579,-73.906126,"5801 Woodside Ave, Queens","[Closed at this time] For bulk orders bagels croissant muffins, call (718) 458-1903
","bakery,meal_takeaway,cafe,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Rico Pan Bakery",899,"2020-05-23T04:00:00.000Z","(718) 429-7181",,"Woodside","Restaurants, Bars, Cafes & Bakeries",40.745586,-73.905813,"58-13 Woodside Ave, Flushing","8am-4pm 718-429-7181 | 58-13 Woodside Ave
","bakery,food","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Rocco's (at Home Depot)",900,"2020-04-16T04:00:00.000Z","(718) 204-0478",,"Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.752428,-73.912612,"5010 Northern Blvd, Long Island City","[Closed at this time] Call (718) 204-0478 for updates
","restaurant,food","11101","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sotto Le Stella",901,"2020-05-04T04:00:00.000Z","(718) 685-2086","https://www.sottolestellemenu.com/","Hunters Point-Sunnyside-West Maspeth","Restaurants, Bars, Cafes & Bakeries",40.7436565,-73.9201512,"4407 Queens Blvd, Long Island City","Mon-Fri 2pm-10pm; Sat-Sun 12-10pm Call 718-685-2086 or Seamless. Sole Luna menu is also available. More on Insta [www.instagram.com/sottolestellenyc][1]

  [1]: http://www.instagram.com/sottolestellenyc
","restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"The Huntress Whiskey N’ Wings",902,,"(718) 685-2922","http://www.thehuntressbar.com/","Queensbridge-Ravenswood-Long Island City","Restaurants, Bars, Cafes & Bakeries",40.752672,-73.93961,"2403 41st Ave, Long Island City","Call for hours 718-685-2922 Walk-up bar no entry sidewalk service to-go beer and cocktails & more BRUNCH COCKTAILS & BEST WINGS TO GO #LongIslandCity #LIC Updates on THE HUNTRESS and the THE BARONESS too <https://www.instagram.com/esshospitality/>
","bar,restaurant,food","11101","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"3 Bros 99 Cent Pizza",903,,"(718) 545-3330","https://www.3bros99centspizzamenu.com/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.765724,-73.913214,"25-89 Steinway St, Queens","TAKEOUT & DELIVERY  CALL 718-777-7133  HOURS 9AM - 4:45AM
","restaurant,food","11103","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"3 Coffee",904,,"(347) 418-2906","https://www.3coffeeroasters.com/shop/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.763078,-73.915292,"30-27 Steinway St Ste 3, Astoria","TAKEOUT & DELIVERY CALL 347-418-2906 HOURS 7AM - 6PM <http://www.3coffeeroasters.com/location/>
","bakery,cafe,food","11103","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Akrotiri Seafood Taverna",905,"2020-04-07T04:00:00.000Z","(718) 726-2447","http://www.akrotiritaverna.com/","Old Astoria","Restaurants, Bars, Cafes & Bakeries",40.767463,-73.922972,"29-20 30th Ave, Astoria","[Closed at this time] CALL 718-726-2447 TAKEOUT & DELIVERY HOURS 12PM - 10:45PM  [www.akrotiritaverna.com][1]

  [1]: http://www.akrotiritaverna.com
","restaurant,food","11102","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Agnanti Meze",906,,"(718) 545-4554","https://agnantimeze.com/","Steinway","Restaurants, Bars, Cafes & Bakeries",40.780977,-73.917866,"19-06 Ditmars Blvd, Astoria","CALL 718-545-4554 TAKEOUT & DELIVERY HOURS 12PM - 11:45PM  [www.agnantimeze.com][1]

  [1]: http://www.agnantimeze.com
","restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Acento Latin Kitchen",907,,"(718) 440-9435","http://www.acentolatinkitchen.com/","Steinway","Restaurants, Bars, Cafes & Bakeries",40.775096,-73.909538,"33-06 Ditmars Blvd, Astoria","[Closed at this time] CALL 718-440-9435  <https://www.acentolatinkitchen.com/menu>
","restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Aji Sushi House",908,,"(718) 777-8889","https://www.seamless.com/menu/aji-sushi-house-36-06-ditmars-blvd-astoria/1750191?gclsrc=aw.ds&=undefined&gclid=CjwKCAjwgbLzBRBsEiwAXVIygE7S5Ckmv9kqqb0IsHLSJKVXvKejp9_J5bg8ZPDAvsU5Z1vZVjqaKBoCzrgQAvD_BwE","Steinway","Restaurants, Bars, Cafes & Bakeries",40.774023,-73.908165,"36-06 Ditmars Blvd, Queens","TAKEOUT & DELIVERY CALL 718-777-8889 HOURS: 11AM - 10PM [www.ajisushihouseastoria.com][1]

  [1]: http://www.ajisushihouseastoria.com
","meal_delivery,restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Alnour",909,,"(718) 606-1244","https://www.facebook.com/ALnourfood/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.763258,-73.91392,"41-08 30th Ave, Astoria","TAKEOUT & DELIVERY CALL 718-60601244 HOURS 10AM - 9:00PM
","restaurant,food","11103","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Aladdin Sweets",910,,"(718) 784-2554",,"Queensbridge-Ravenswood-Long Island City","Restaurants, Bars, Cafes & Bakeries",40.757087,-73.931185,"29-06 36th Ave, Queens","TAKEOUT & DELIVERY CALL 212-470-8376 HOURS 12PM - 11:45PM
","restaurant,food","11106","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Alba's Pizza",911,,"(718) 932-5924","http://www.albapizza.com/","Steinway","Restaurants, Bars, Cafes & Bakeries",40.773828,-73.90765,"36-20 Ditmars Blvd, Astoria","TAKEOUT & DELIVERY CALL 718-932-5924 HOURS 11AM - 10PM
","meal_delivery,restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Aliada",912,,"(718) 932-2240","https://aliadarestaurant.com/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.762532,-73.926197,"2919 Broadway, Astoria","TAKEOUT & DELIVERY CALL 718-932-2240 HOURS 12PM - 11:45 PM
","restaurant,food","11106","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Amylos Taverna",913,,"(718) 215-0228","http://www.amylos.com/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.761102,-73.922927,"33-19 Broadway, Queens","TAKEOUT & DELIVERY CALL 718-215-0228 [www.amylos.com][1]

  [1]: http://www.amylos.com
","restaurant,food","11106","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Anassa Taverna",914,"2020-04-07T04:00:00.000Z","(718) 721-5050","https://astoria.anassataverna.com/","Old Astoria","Restaurants, Bars, Cafes & Bakeries",40.770512,-73.920661,"28-10 Astoria Blvd, Astoria","Closed at this time. [www.anassataverna.com][1]

  [1]: http://www.anassataverna.com
","restaurant,food","11102","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Antika Pizzeria",915,"2020-04-07T04:00:00.000Z","(718) 545-0555","http://www.antikapizzeriaastoria.com/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.764743,-73.917164,"36-08 30th Ave, Queens","TAKEOUT & DELIVERY CALL 718-545-4455 HOURS 4PM - 11:45PM  [www.antikapizzeriaastoria.com][1]

  [1]: http://www.antikapizzeriaastoria.com
","meal_delivery,restaurant,food","11103","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Apicius Pizzeria",916,"2020-04-07T04:00:00.000Z","(718) 204-7722","http://www.apiciuspizzeria.com/","Steinway","Restaurants, Bars, Cafes & Bakeries",40.775178,-73.903635,"20-72 Steinway St, Astoria","TAKEOUT & DELIVERY CALL 718-204-7722 HOURS 11AM - MIDNIGHT [www.apiciuspizzeria.com][1]

  [1]: http://www.apiciuspizzeria.com
","restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Arcadia Bar and Kitchen",917,,"(347) 730-6181",,"Old Astoria","Restaurants, Bars, Cafes & Bakeries",40.772303,-73.929229,"12-21 Astoria Blvd, Astoria","TAKEOUT & DELIVERY CALL 347-730-6181 HOURS 12 - 10PM
","bar,restaurant,food","11102","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Arepas Cafe",918,"2020-05-06T04:00:00.000Z","(718) 937-3835",,"Astoria","Restaurants, Bars, Cafes & Bakeries",40.755833,-73.927778,"33-07 36th Ave, Queens","12pm-8pm Call 718-937-3835 |  33-07 36th Ave Astoria | Orders and updates <https://linktr.ee/Arepascafe>
","cafe,restaurant,food","11106","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Artichoke Basille's Pizza-",919,"2020-04-07T04:00:00.000Z","(718) 215-8100","https://www.artichokepizza.com/","Steinway","Restaurants, Bars, Cafes & Bakeries",40.775068,-73.91229,"22-56 31st St, Queens","TAKEOUT & DELIVERY CALL 718-215-8100 HOURS 11AM - 1AM [www.artichokepizza.com][1]

  [1]: http://www.artichokepizza.com
","restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Astoria Pizza",920,,"(718) 545-1313","http://www.astoriapizzeria30th.com/","Astoria","Restaurants, Bars, Cafes & Bakeries",40.76632,-73.920466,"32-04 30th Ave, Long Island City","TAKEOUT & DELIVERY CALL 718-545-1313 HOURS 10:30AM - 4:45AM
","meal_delivery,restaurant,food","11102","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Astoria Provisions",921,,"(917) 396-4002","http://www.astoriaprovisions.com/","Old Astoria","Restaurants, Bars, Cafes & Bakeries",40.772261,-73.929132,"12-23 Astoria Blvd, Long Island City","TAKEOUT & DELIVERY CALL 917-396-4002 HOURS 9AM - 6PM [www.astoriaprovisions.com][1]

  [1]: http://www.astoriaprovisions.com
","restaurant,food","11102","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Astoria Bagel",922,"2020-04-07T04:00:00.000Z","(718) 606-2600",,"Steinway","Restaurants, Bars, Cafes & Bakeries",40.776873,-73.912242,"3306 Ditmars Blvd, Astoria","[Closed at this time]
","bakery,meal_takeaway,restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Astoria Bier & Cheese",923,"2020-04-09T04:00:00.000Z","(718) 255-6982","http://milkandhops.com/","Steinway","Restaurants, Bars, Cafes & Bakeries",40.774682,-73.908424,"35-11 Ditmars Blvd, Astoria","Updates <https://www.instagram.com/p/B-XWVZvj314> Staff go fund me [www.gofundme.com/f/abcditmars-staff-fundraiser][1]

  [1]: http://www.gofundme.com/f/abcditmars-staff-fundraiser
","bar,restaurant,food","11105","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
